Sentence,Labels Set,subategory,
કોંગ્રેસની સરકારે રાજીનામું આપી દેવું જોઈએ,Hate,Accusations,
10કેન્દ્ર મા ઈમરાન ખાન ની સરકાર છે ??,Non-Hate,Neutral,
"રસી છેજ નહી લાઇનમાં ઉભા રહી ને કોરોના કરવા જવું હોય તો જાવો
",Non-Hate,Neutral,
"આ કોંગ્રેસ ની સરકાર કાયમ ગુજરાત ને અન્યાય જ કરે છે..
રાહુલ ગાંધી રાજીનામું આપે😆😆",Hate,Accusations,
"કેન્દ્ર માં સરકાર કોની છે ?
ઇમરાન ખાન ની ?",Hate,Accusations,
"તમારી પાસે વૈકસીન ના હોય તો કાઇ વાંધો નથી બસ બધાય ને દીવ જાવા દેજો કોઇ પણ જાતની શર્ત વગર અને રોક ટોક વગર દીવ અથવા આબુ ની જ વૈકસીન લેવા જાવુ જ છે હવે માણસો ને છુટ થી હરવા ફરવા દો 😂😂😀😀",Non-Hate,Neutral,
"આ ફોટા માં જે સ્કુટર વાળો છે એને ૫૦૦ નું પેટ્રોલ ભરાવી ૨૮૦ રૂપિયા ટેક્સ ચુકવ્યો એને ફેંકુ એ મફત વેક્સિન આપી છે",Hate,Accusations,
"એ પારસી ગાયિકા, જેમણે એવા ધાડપાડુઓને સુધારવાનું બીડું ઝડપ્યું જેમનાથી બ્રિટિશરો પણ ડરતા",Non-Hate,Neutral,
"હિન્દુઓએ વખતે પણ ખતરામાં હતા 🤔🤔🤔🤔",Non-Hate,Neutral,
"તો હિદુઓ ની શુરક્ષાનો ઠેકો ધરાવતા નહોતા ડરતા 562 ?",Non-Hate,Neutral,
"અત્યાર ના સમય મા દરેક ખેડૂત ને કઈક નવુ કરી ને સમય સાથે ચાલવુ જોઈએ. આ કાકા ની સ્ટોરી માથી ઘણુ શીખવા મળ્યુ.",Non-Hate,Positive,
"ખારેક ના નામે કાંડ એવા થયા કે ખારેક નું નામ બદનામ કરી નાખ્યું",Non-Hate,Neutral,
"આમા ભંગાર તો કયાય દેખાતો નથી 🙄",Non-Hate,Neutral,
"ખૂબ ખૂબ ધન્યવાદ તમને ભગવાન સુખી રાખે એવી પ્રાથૅના,",Non-Hate,Positive,
બીબીસી વાળાવ સવાર ની શરૂઆત ઇ વાત થી થાય છે કે બધાયે વૈકસીન લઇ લીધી છે તો હવે બીજા નો વારો આવવો જોઇએ,Non-Hate,Neutral,
"ઈ-કૉમર્સ કંપનીઓથી નારાજ વેપારીઓએ વારંવાર આરોપ મૂક્યો છે કે ઈ-કૉમર્સ કંપનીઓ અમુક સેલર્સને જ પ્રાથમિકતા આપે છે, આખરે ભારતમાં ઈ-કૉમર્સ ક્ષેત્ર શા માટે વિવાદમાં છે?",Hate,Accusations,
"ફી ઉઘરાવી લીધા પછી ત્રીજી વેવ ચાલુ થવાની છે
વાલીઓ એ ધ્યાન આપવું",Non-Hate,Neutral,
પછી ફી લેવાય જાય એટલે બંધ નો કરી દેતા હો કે ગયા વખત ની જેમ ,Hate,Accusations,
"તો બીબીસી વાળાવ આ તમે રોજ ડેલ્ટા વેરીયંટ ની વાતો શુ કામે કરો છોવ
લોકડાઉન તો ખુલવુ જ જોઇએ હવે તો દીવ મા પણ બધાયે વૈકસીન લઈ લીધી છે હવે બીજા લોકોને વૈકસીન લેવા જાવા દો",Non-Hate,Neutral,
"આંગણવાડીનાં બાળકોને 36 કરોડ 28 લાખના ખર્ચે ગણવેશ આપવાનો નિર્ણય કરાયો છે, જોકે આંગણવાડી કાર્યકરોને માનવું છે કે ગણવેશને બદલે બાળકો માટે પોષણક્ષમ આહારની સુવિધા અપાઈ હોત તો બાળકોનું ભલું થાત",Hate,Accusations,
"ભરૂચના ગૌરવ સમાન આ લાયબ્રેરી અને નરેન સોનાર જેવા પુસ્તકપ્રેમી લાયબ્રેરીયન એ સોનામાં સુગંધ સમાન છે.
👍🌺👍🌺",Non-Hate,Positive,
ખૂબજ સરસ અભિગમ છે.ભારતીય સંસ્કૃતિમાં આ સત્કાર્ય જ કહેવાય. શ્રેષ્ઠીજનો માટે પ્રેરણાદાયી આ કાર્ય છે.દરેક જિલ્લા મથકે આવી લાયબ્રેરીઓ હોવી જોઇએ. દાતાઓ આ રીતે વતનનુ રુણ અદા કરી શકે. અભિનંદન,Non-Hate,Positive,
"ભરૂચની અદ્યતન અને અદ્ભૂત લાઇબ્રેરી. અને એમાં પણ નરેનભાઈ જેવો કળાકાર જીવ એની સાચવણી કરે એટલે ક્યા કહેના! આનંદ અને રાજીપો.",Non-Hate,Positive,
"નાગીનાવ
રામનુય નથી મુકતા
એ શેના છોડે",Hate,Abusive,
"મોદી ને ગોતે છે બચપણ મોદી એ આજ મગર ને પકડી ને ફંગોળીયો હતો",Hate,Accusations,
પાછો સત્ય મેવ જયતે માં નારી સન્માન માટે મોટી મોટી વાતો કરતો હતો..... એ પણ આંખો માં (પરાણે) મોટા મોટા આશુંડા લાવીને... માદરચોદ ભોસડીનો ,Hate,Abusive,
બીબીસી વાળાવ અહીંયા ની વાત કરો ચોદીનાવ ,Hate,Abusive,
"પારકે પૈસે તાગડધિન્ના શા માટે ન બનાવે
સગા બાપ ને પાણી ન પીવડાવતા હોય એ આવાવ ને પગે લાગી પૈસા આપતા હોય છે નાગિનાવ ",Hate,Abusive,
"પાછળ ગાંડ માંથી પણ કોરોના ઘુસી જાય માટે ડટી બનાવી લેવી .
જનહિતમા જારી",Hate,Abusive,
"સાધુ બનયા બાદ પણ સોના નો મોહ નથી જતો દુનિયા ને શું જ્ઞાન આપશે",Hate,Accusations,
"હરામના રૂપિયા આવતા હશે.",Hate,Accusations,
"ભારતમાં સાધુ બાબા બનાવામા સૌથી મોટો ફાયદો તે કે વગર કામ ધંધ‍ે મહેનત મજૂરીઅે બેઠા બેઠા અહી જ સ્વર્ગનુ સુખ પ્રાપ્‍ત",Hate,Accusations,
"તમે તો બનાવવૌ જ ,,તમારે બીજા ના બાપ ના પૈસે દિવાળી કરવા ની હોય ને",Hate,Accusations,
"આપો રૂપિયા..!!!!!!ઠગ લોકો ને.",Hate,Accusations,
"આ દુનિયા મા ઠગ ધુતારા ઓને મજા છે કોઈ ગરીબ ભૂખે મરે પણ 10 રૂપિયા ના આપે આવા ઠગો ને લાખો રૂપિયા ના દાન કરે પછી સોના મા માસ્ક બનાવે ને અને પછી દુનિયા દેખાડે પણ મજૂરી કરો ખબર પડે કે કેમ સોના ના હાર પહેરાય",Hate,Accusations,
"આના માસ્ક ને અને ત્રીજી લહેર ને લેવાકે દેવા હાલી સુ નીળકયા છો",Hate,Accusations,
"આગળ જમાનમાં સાદું , સન્યાસી પાસે ભીક માંગવાનું વાટકો હતું અને લોકોની પાસે પૈસા હતું, પણ
આંચ કાળ સાદું ,સંન્યાસી પાસે પૈસા છે લોકો ભેક માંગે છે🤔🤔",Hate,Accusations,
"લોભિયા હોય ત્યાં સુધી ધુતારા ભુખેં ન મરે",Non-Hate,Neutral,
"સાધુ સંતો ને આવા ખોટા ખેલ કરવા ની કયા જરૂર છે. સાધુ સંતો ને સૉનાના દાગીના ને અડવુનીષેધ હૉય છે. ચંદુભાઈ જૉષી પીપૂડીવાલા બહુચરાજી",Hate,Accusations,
"આપણાં દેશમાં ઘણા લોકોને સમય સર ખાવા પણ નથી મળતું અને આ નમૂનો સોનાનું માસ પહેરે છે શરમ પણ નથી",Hate,Accusations,
"આને કીયા મેનત કરવીછે ગામ પાસે ભીખ માગી લીયે બાકીતો મેનત કરે પછી ખબર પડે કેમ બનાવાય ગાન લાલ થઈ જાય",Hate,Accusations,
"ક્યાં ઘરના પૈસા દેવા છે તો ઉપાધી ? ભક્તો છે જ.પૈસા કમાવવા હોઈ તો બાબા બનો👹",Hate,Accusations,
"વાહ બાબા ગરીબ લોકો ને એક તમ નું ખાવાનું નસીબ નથી અને તમે સોનાનાં માસ્ક પહેરો છો સરમ કરો સરમ",Hate,Accusations,
"નકલી સોનું છે તપાસ કરાવી લો આપણા ગુજરાત માં પણ બગસરા ની ડીમાન્ડ છે.....",Non-Hate,Neutral,
"આવીને લાગૂ પડે ગોપાલભાઇ ની ટીપણી આવાનેલાગુ પડેઆતો બીજા માથે ઉપાડીને એ દોડવા લાગ્યા",Non-Hate,Neutral,
"આપણે મંદિરમ જવૂ પણ આવા ધૂતારા ઓને આપવૂ નહી ભગવાન નથીકેતોકે તમે રૂપિયા આપો આ ધૂતારા ઊલૂબનાવે છે એટલે પબલીક બેચારી ડરીજાય છે બાકી આવા ધૂતારાઓને મોકલો અમારે પાશ કેવૂ માસ પહેરાય અને બતાવી દઊ માસતો શૂ પણ એને ધોતીયૂ પહેરવાનો ટાઇમ ન મળે",Hate,Accusations,
"હા ભાઈ કોરોના માં હવે પિકચરો બંધ થઈ ગયા ને તો હવે આવા ધંધા સોધી નાખ્યા કંઇક તો કરવું પડે ને...હવે નવી ગીલ્લી નવો દાવ ચાલુ કરશે પછી... ન્યૂઝ પેપર વાડા આમના સમાચારો ઠો ક ઠોક કરશે ..કરીના હવે જૂની થય ગય...એટલે",Non-Hate,Neutral,
"આલોકો છૂટાછેડા પછી કોની સાથે ઉંગશે એ પણ ન્યુઝ છાપો. નવરીના ઓ",Hate,Abusive,
"ગઈ ભેંસ પાની મેં... પાર ન પડયું.. આ અભિનેતા અને નેતા આ લોકો ની જિંદગી સાવ ખરાબ રીતે જીવતા હોય છે. વેલ્યુ વગરના. બધોજ ઉપર ઉપર શો લાગે. અંદર ઉધઈ ચઢી ગઈ હોય. નેવું ટકા બરબાદ થઈ જાય છે. માણ એક બે લગ્ન સારાં જાય. બાકી બધું પોલમ પોલ. પરણ્યો હોય તો પણ એક બીજા ના બહાર લફરું ચાલુ જ હોય. કુતરા જેવી જિંદગી. પૈસા નો પાવર, સુંદર દેખાય તે પાવર, બંગલા. ગાડી. નોકરચાકર. હાડકાં નમે નહિ. સહેજ પણ મેહનત નહિ કરવાની. બધું ટેબલ ઉપર. લોહી ઉકાળો. જીવન માં શાંતિ બીલકુલ નહિ. પછી છુટાછેડા. પરાણે બનતું હોય તેવું. લાગણી. પે઼મ જેવું એક ટકો નહિ. તું નહિ તારા ભાઈ બીજો. ચાલુ જ હોય લફરાં.",Hate,Accusations,
"પાછી કોક હિન્દુ ની છોકરી પટાવશે",Hate,Promoting violence,
"દેશ માં પ્રવર્તિ રહેલ હાડમારી વિશે લખો ને આવા લોકો ના આવા કારનામાઓ છાપવાની કોઈ જરૂરિયાત નથી.",Hate,Accusations,
"પંદર વર્ષ સુધી ખાલી ગંડમરાવી સોકરં પેદા નથી કરયુ",Hate,Abusive,
"હવે કોક નવી ઇરોઇન હારે પેણશે",Non-Hate,Neutral,
"સત્યમેવ જયતે..🤣🤣😂😂🙏🙏
બધું નાટક...😜😜",Hate,Accusations,
"સારું કર્યુ લીધા હોય તો...આપડે કેટલા ટકા.",Non-Hate,Neutral,
"જાણી YA વગર કોઈની પર ટીકા ટીપણી કરવી સારી વાત નથી KOI ની જાતિ JENDAGI પર ખોટી વાતો કરવી સારી વાત નથી કોઈની જાતિ જેન્દગી મા ખોટી ટીપણી સારી વાત નથી અલગ થશે તો ek બીજાની મરજી અને સંમતિ થીજ અલગ થશે ના !!!!!!",Non-Hate,Neutral,
"ઈસ હરામી કો કુતરિઓ મલીજરહે છે",Hate,Abusive,
"કુતરા એ કુતરી બદલી",Hate,Abusive,
"આવા લોકો એ દુનિયામાં બર્બાદીજ નોતરી છે અને પોતાના દેશ ને પણ બરબાદી ના દલદલ મા થકેલી દીધું છે",Hate,Accusations,
"બીબીસી વાળાવ તમે હવે આ કોરોના ને અને એના બધાય વેરીયેટ ને દિવ ના દરીયા મા પધરાવી આવો 😂😂😀😀",Non-Hate,Neutral,
"Hiren Pithadiya મી. તમે દીવ નાં દરીયાની કેમ વાત કરો છો,દીવ વાળા પોલ્યુશન વાળા ઉદ્યોગપતિ ઓને એક દિવસ પણ ટકવા નાં દયે ખાય પીય આનંદ થી જાઓ કોઈ નેં નડતરરૂપ નાં થાઓ.",Hate,Accusations,
"બધા જાનવરો ને તો માસ્ક પહેરાવી દો",Non-Hate,Neutral,
"બીબીસી વાળાવ હવે હદ થાય છે આ છેલ્લા ૬ મહીના થી કોરોના અને એના દીકરા ઓ ને કાખ મા લઇ ને ફરો છોવ એને હવે પડતા મેલો અને આબુ અથવા દીવ આટો મારી આવો 😂😂😀😀",Non-Hate,Neutral,
"અમારા ગામમાં બધા વણકરો ખિસ્તી ધર્મ અપનાવી લીધો છે અને નામ હિંદુ જ રાખે છે જેથી આરક્ષણ મળી રહે અને મારા ગામમાં જ નહીં આખા ગુજરાતમાં પણ આજ વસ્તુ ચાલી રહી છે પણ લોકોને અે નહીં દેખાય તેમને તો બસ મુસ્લિમ સમુદાય જ આખો મા આવે છે",Hate,Promoting violence,
પાકિસ્તાન ની ચિંતા ન કરો ભારતની ચિંતા કરો.  ચોદીનાવ ,Hate,Abusive,
"ભારતમાં હિન્દુઓનું ધર્મ પરિવર્તન થઇ રહ્યું છે એના ઉપર વાત કરો",Non-Hate,Neutral,
"બીબીસી વાળાવ દીવ અથવા આબુ આટો મારી આવો અને વૈકસીન લઇ આવો 😂😂😀😀",Non-Hate,Neutral,
"આ એક ઈન્જેનીયર પણ ના બનાવી શકે એવી કળા છે, સરકાર તરફથી આ કળાને યોગદાન આપવું જોઈએ.",Non-Hate,Neutral,
"અગાવની સરકારોને પેટ્રોલ,ડીઝલ ની આવક ૭૪ હજાર કરોડ હતી,
જે મોદીએ વધારીને અધધધ ચાર લાખ કરોડ રૂપિયા કરી દીધી,
લે..ભગા..થા રાજી..",Hate,Accusations,
"ખૅડુતૉનૅ સબસીડીઑ પણ જનતાના ટૅક્સ ના નાણા મા થી જ અપાય છે.....
",Non-Hate,Neutral,
"શેનો વિકાસ?
બધાઅે ભેગા થઇ દેશની પતતર ફાડી નાખી ",Hate,Accusations,
"50 પેટ્રોલ ભરાવતા શર્મ અનુભાવતી વાતો કરી જનતાના ખિસ્સા ખાલી કરો એમ કહેવા માંગો છો એમ ને..",,,
"ભાઈ હાર્દિક કોંગ્રેસ નો તારણ હાર છે.",Non-Hate,Positive,
"ભાઈ ટુંકી ગરદન વારા પર ભરોસો ની થાય... ના કહેતા કહેતા રાજકારણ માં આવી ગયા...",Non-Hate,Neutral,
"હાર્દિકે સાચું કીધું👏👏
પબ્લીક લાચાર થઈ ગય છે
અને એ પણ પબ્લિક ના પોતાના જ્ કારણે આ પરિસ્થિતી છે
કોઈ સિક્શિત્ નેતા આવે અને કહે સસ્તી વિજરિ આપીશુ સારી સ્કૂલ બનાવીશુ સસ્તું સારું શિક્ષણ આપીશુ સારી હોસ્પીટલ
બનાવી સુ તો પબ્લિક એ નેતા ને વોટ નહીં આપે
પણ મંદીર મસ્જિદ અને જય્ શ્રી રામ ના નારા અને અલ્લાહ હું અકબર નાં નારા લગાવે જે નેતા એ નેતા છૂટાંઇ જાય
પબ્લિકે પોતે જ્ આ પરિસ્થિતિ નિર્માણ કરી છે",Hate,Accusations,
"દાનત જ અગત્યની છે . શિક્ષણ જ સારા સંસ્કારની ગેરન્ટી નથી , એ તો ઉલ્ટાનું આપણને બીજાનું પડાવી લેવાની તરકીબો શીખવે છે . આપણા કરતાં આપણા અભણ બાપદાદા વધુ નિખાલસ અને પ્રામાણિક હતા",Non-Hate,Neutral,
"Narendra Manavadaria જો શિક્ષણ સારા
સંસ્કાર (સમજણ) નિ ટેરેન્ટી ના હોય તો બાળકો માં સારા સન્સ્કાર્ સમજણ આપવા માટે વિકલ્પ ક્યો? વિસ્વ માં પ્રામાણિક દેશો માં ભારત નું સ્થાન ક્યાં છે એ જોઈ લેજો અને એ પ્રામાણિક દેશો ના લોકો માં શિક્ષણ પ્રમાણ ચેક્ કરી લેવું સારિ દાનત નિ વાત કરો છો તો એ તમારાં આદર્શ કોણ છે એના પર્ છે હરામ ના રોટલા તોડતા સાધુ બાબા ફકીરો હોય તો દાનત ખરાબ જ્ હોવાની આપણા અભણ દાદા નિખાલસ અને પ્રામાણિક હતા 😮 સમાજ માં ફેલયેલ દૂષણો કુરિજો સતી પ્રથા દાસિપ્રથા બાળકી ને દૂધ પીતી કરવી મહિલા ઓ ને શિક્ષણ નો હક્ક ના આપકો છુઆ છુંત્ જાતિવાદ આ બધા દૂષણો દૂર કેમ ના કર્યા જો બાપ દાદા નિખાલસ અને પ્રામાણિક્ હતા સમાજ માં
ફેલાયેલ આવા દુષણો ને દૂર કરવા માટે જાગૃતિ લાવવી પડે અને એ શિક્ષણ થી જ્ શક્ય છે",Hate,Accusations,
"જો આપ એ લાઈટ બિલમાં 200 યુનિટ આપ્યા તો આપ ની સરકાર નક્કી",Non-Hate,Positive,
"પાટીદાર પાટીદાર કરી કોમવાદી વલણ અખત્યાર કરી પટેલોની ઘોર ખોદી હવે કોગ્રેસ ની ઘોર ખોદશે અને આ માણસ જ્યાં સુધી કોગ્રેસ માં હશે ત્યાં સુધી કોગ્રેસ ઉપર કોઇ ભરોસો કરશે નહી.",Hate,Accusations,
"Sandip Rana 200 ની ઉપર જશે તો લાઈટ બિલ આવશે . કોણી પર ગોળ લગાવવા વાળી સ્કીમ છે..",Hate,Accusations,
"ભાઈ બિલકુલ સાચી વાત છે પ્રજા કમાવા જાય કે આંદોલન કરે કંઈજ પ્રજા ને સમજાતું નથી આટલી મોંઘવારિ પ્રજા પીસાય રહી છે",Hate,Accusations,
"બી બી સી ને જેલની સજા ત્રણ વર્ષ ની પામેલો જ દેખાય છે કોગ્રેસ ને પંલગતોડ પીવાનો શોખીન જ દેખાય છે કોગ્રેસ માં બીજા ઇન્ટરવ્યુ લેતા નથી આવડતું કે આ શબાબ શરાબ સુંદરી ની સગવડ આપે છે એટલે આવા ને બતાવો છો",Hate,Accusations,
"ખુટીયા ગપ્પા મારવાનું બંધ કર",Hate,Abusive,
"આને કોઈ દસ હજાર મા નોકરીએ ન રાખે તેની પાસે કેટલી પ્રોપર્ટી છે",Hate,Accusations,
ગાંડ મારી ગયા તેનું શું ..,Hate,Abusive,
"ભાઈ હાર્દિકે કહ્યું તેમ ૨૬ ધારા સભ્યો તમે આપ્યા છે. એ ક્યા?
૨૬ તો સાંસદ છે..!!",Hate,Accusations,
"પહેલા પાટીદારો ને ભડકાવીયા પછી ખેડૂતો ભડકાવીયા અને બીજા અનેક ભડકાવાની તૈયારી",Hate,Promoting violence,
"હાર્દિક પટેલને શરમ અને ઇજજત જેવું કંઈ હોય તો કૉંગ્રેસ છોડીને ભાજપ કે આપમાં જોડાઇ જવું જોઈએ. નહિતર કોંગ્રેસમાં તો તેની વારંવાર બેઇજજતી થવાની જ છે.",Hate,Accusations,
"ગાડા નીચે કૂતરું હોય એ ને એમ થાય કે ગાડું એ ની ઉપર ચાલે છે આ ભાઈ ને એમ છે કે બધું એ ના થીંથય છે ને આ ન્યૂઝ વાળા હલકી ના છે કે આવા ના ન્યૂઝ પોસ્ટ કરે છે",Hate,Abusive,
"Hardik Patel ભાઈ વિપક્ષ જેવું કશું છે જ નહિ !
બધી મિલી ભગત છે !
વિપક્ષ ની !",Hate,Accusations,
"કોંગ્રેસ ને ડૂબાડવા વાળા આ 2 નું નામ ઇતિહાસ માં લખસે આ આ ₹પપ્પુ ને હપ્પુ",Hate,Accusations,
"મોટી ઓફર આ હલકટ ને એ આપેલ કે પપ્પુ નો રોજ ચૂસવા જાવ નું એ નીં કિંજલ ને લઈ ને",Hate,Abusive,
"હવે રેવા દે એમ કે ને કે મારું કઈ ના ચાલ્યું",Non-Hate,Neutral,
આ રાંડમારીનો કૉંગ્રેસ ને માથે પડ્યો છે,Hate,Abusive,
"તે પૈસા બનાવી લીધા છે એટલે તારે કયા વાધો છે કોંગ્રેસ હોઈ કે ભાજપ",Hate,Accusations,
"હારદીક ભડવાનાો ટૂંકી ગરદન વાળા નો કદી ભરોશાો કરાય નહી",Hate,Accusations,
"સાવ ખોટો માણસ છે",,,
"કેહતા ભી દિવાના સુનતા ભી દિવાના !",Non-Hate,Neutral,
"હાર્દિક પટેલ એટલે સાવજ. જય સરદાર",Non-Hate,Positive,
"ભુંડ",Hate,Accusations,
"કૉંગ્રેસ ખાલી ફોટો સેશન કરે છે!",Hate,Accusations,
"નેતા ભણેલાહાેવા જાેય યે ધર ભરે અેવાનેય જતાનાે અવાજ સાભણે અેવા",Hate,Accusations,
"ખરેખર દલિતો નું તો હજારો વર્ષ થી અન્યાય અને સોસણ થતું એવીયોઉ છે એ દૂર ભાગ્યા છે",Hate,Accusations,
"ટુંક સમયમાં મુસ્લીમ વર્ચસ્વ વાલૉ દૅશ થવાનૉ છે",Hate,Accusations,
"ભારતીયો નો દબદબો હોય ત્યાં હીન્દુ ફોબીયા ની સાથે જાતી વાદ પણ રહેવા નો જ એજ ભારતીય ની ઓળખાણ છે
જન્મજાત મહાન જાતિ થકી માત્ર ભારતમાં જ જન્મે છે",Non-Hate,Neutral,
"અહીંથી બે નંબરના રુપિયા બનાવી લંડન રહેવા જાવ તો તમને તમારી ઓકાત તો બતાવેને",Hate,Accusations,
"ભારત નાં કરેલા કર્મ ભોગવવા પડે વિદેશમાં પણ ભોગવવા પડે, ન્યુયોર્ક ટાઇમ્સ નાં સમાચાર મુજબ ભારતીય મહિલા ઉપર ધોરીયાઓ ટ્રેનમાં મુસાફરી દરમ્યાન જાહેર માં મુત્ર એ છે,",Hate,Accusations,
"આપનું મતલબ , બીબીસી નું મૂળભૂત હેતુ શું ?
ભારતીય સંસ્કૃતિ અને ભારતીયો નું સતત અપમાન કરવાનું..
અને , અમો મૂર્ખ પ્રજા આપને જોઈએ પણ છીએ..
કઈ વાંધો નાહી ભાઈ..., એક દિવસ તમારી પણ હાલત ગરીબ કોંગ્રેસ જેવી જ થવાની છે..
હમણાં...તમે આનંદ કરો..",Hate,Accusations,
"અહીં ધાર્મિક અને જાતીય કટ્ટરતા વાળા માનસિક ગુલામ પાષાણીય વિચારોના ખોખલા ઘમંડ મા બેઠેલાં લોકો ત્યાં પણ પોતાની હિન અને નિમ્ન માનસિક પાગલતાનુ પ્રદર્શન કરે છે વળી ત્યાં સમાનતા વાળી જ્ઞાનની વાતો કરે છે ચાલા રાક્ષસ",Hate,Abusive,
"પર્યાવરણ નો ખ્યાલ ના રાખવા માં આવશે તો આના થી ખરાબ સ્થીતી માટે તૈયાર રહો",Non-Hate,Neutral,
"આ બધા મા માનવ જીમેદાર છે બીજુ કોઈ નથી",Non-Hate,Neutral,
"હવે ફાટલું સ્પીકર ને કયો કે હવે પ્રેસ કરીને ભાષણ આપે",Hate,Abusive,
"મંદિરે દર્શન કરવા જાય તો પણ પોલીસ પકડે હો.
😄😄😄",Non-Hate,Neutral,
"આ લોકો થાઇલેન્ડ જાય તોય એમજ કહેસે કે હુ મંદિરે દર્શન કરવા માટે ગયો હતો",Non-Hate,Neutral,
"આ નો હોય મોદી નો મંદિરે ગયો હોય તમને સુ લાગે",Non-Hate,Neutral,
"ઠંડા દેશ ગણાતા અમેરિકા-કૅનેડામાં ભયંકર ગરમીથી સેંકડો લોકોનાં મોત, આની પાછળ કારણભૂત હિટ ડોમ શું છે?",Non-Hate,Neutral,
"મારી તો ભૂદેવો ને એકજ વિનંતિ છ કે હરેન પંડ્યા સાહેબ જેવા નેતા ની હત્યા અને સનજીવ ભટ જેવા બાહોશ IPS અત્યારે જેલ માં છે એના માટે વિચારો અને બીજું કે તમે આવેદનપત્ર આપો બરોબર છે બાકી આ બધા ભાષણો 4 વર્ષ જુના છે તોય માફી મનગાવો એમાંય મારી ના નથી પરંતુ ક્યાંક ઉશ્કેરાય અને કોઈ પાર્ટી નો હાથો બની ની ખોટા ઝગડા કરીને પોલીસ સ્ટેશનમાં અને કોર્ટ ના ધકા ખાવા તેમજ આર્થિક ઘસાવું એ વ્યાજબી નથી .એ પણ ધ્યાન રાખો જો અને મારા દેશ નો ભુદેવ ક્યારેય આવું કૃત્ય કરેજ નહિ પણ શું થયું એ રામ જાણે
બીજી વાત વિસાવદર મેં જે ઘટના બની એમાં 14 ભૂદેવો પર 307 જેવી ગમભીર કલમો સાથે ગુનો દાખલ થયો અને આજીવન જેલ માં રેવાનો વારો આવ્યો હવે એમના પરિવાર નું કોણ એટલે બે હાથ જોડી અને ભૂદેવો ને વિનંતિ કે કોઈ પાર્ટી નો હાથો ના બનતા કોઈ કોઈનું સગુ નથી",Hate,Accusations,
"ગુજરાત માં હવે ફકત આપ જ આવશે..
Only ઇસુદાન
બાકી કૂતરા ભલે ભસે..
ભો ભો કરે..",Hate,Abusive,
"ગુજરાત માં આ દેખાડો કરવા કરતા તમે દલહી જાવ ત્યા તમારી અણ આવડતથી ઓકસીજન ની અછતથી ધણા લોકોએ જાન ગુમાવ્યા છે ત્યા તમારું દંડા થી સ્વાગત થશે",Hate,Promoting violence,
"અા બધા નાટકો છે પજાને બધા ગેર માગે દોરે છે",Hate,Accusations,
"રાજકારણ છે, હુમલો કર્યો કે કરાવ્યૉ કાંઇ કહી શકાય નહીં.... લાઇટમાં આવવાની કૉશીષ પણ હૉય....",Hate,Accusations,
"આ લોકો કહે છે આખો વિડિયો બનાવ્યો તો એ ને ખબર હતી ને આ થવા નુંછે અને વિડિયો બનવા વાળા ને કેમ ના માર્યો કેમ આ 3 એ હલકટ ને ના લાગ્યું ખોટી ના છે ભાજપ ને આવા લુખ્ખા માં રસ પણ નથી આ કોઈ કાઈ તોડી સકવા ના નથી",Hate,Accusations,
આ ભાજપ ની ભડવાય છે ,Hate,Abusive,
"અમદાવાદ શહેર માં રથયાત્રા નાં દિવસે કરફ્યુ, ભક્તોને દર્શન કરવાની મનાઈ, ભક્તો ઘરે થી પણ દર્શન ના કરી શકે તો પછી રથયાત્રા કાઢવાનો ઉદ્દેશ શું છે? શું ફક્ત પ્રસિદ્ધિ માટે સરકાર દ્વારા રથયાત્રા નું આયોજન કરવામાં આવ્યું છે?",Hate,Accusations,
"નિયમ ફક્ત સામાન્ય અને નમાલી પ્રજા માટે જ હોઈ છે , સરકારી નોકરો અને નેતાઓ ને નહિ ...",Hate,Accusations,
"રથયાત્રા દરમ્યાન લોકોએ બારી બારણાં બંધ રાખવા.પ્રભુના દર્શન પર આવી પાબંડીનો ફતવો ગુલામી નથી તો શું છે? શું પ્રજા આટલી કાયર બની ગઈ છે.? જુલ્મની પરાકાષ્ઠા. વાહ બીજેપી વાહ.",Hate,Accusations,
"બનાવટી હિન્દુત્વ થી ચેતી જજો",Hate,Accusations,
"ભક્તો માટે કોરોના નેતાઓ માટે નહી તો બઘા વીરોઘ કેમ નથી કરતા",Hate,Accusations,
"વાત સાચી છે ભક્તોની વાત છે નેતાઓ છે બધી છૂટ હોય છે",Hate,Accusations,
"ભગવાન ની મૂર્તિઓ માટે જીવતા જાગતા માણસોને કરફયૂ ના નામે ઘર મા જેલ ની જેમ પુરવામાં આવે છે આ તાનાશાહી નથી તો શું છે ?",,,
"આમેય તંત્ર ખાડે ગયું છે એમાં શું નવાઈ ઉપેરા ઉપેર જનતા ને ડફોળ બનાવવે છે જોવા નું છે કે જનતા કેટલી ઘડી ડફોળ બને છે ફરી વાર વોટ આપો તો યાદ રાખો સારું નકે જનતા જેટલું કોઈ ડફોળ નહીં",,,
"કોઈ મોટા ભકત નુ કમિશન ચડાવાની રહિ ગયુ હોય પછી યાદ આવ્યુ હોય",,,
"તો તો મોટા પાયે કૌભાંડ હશે 😂",,,
